index;NO_MUNICIPIO;NO_ENTIDADE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PISCINA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_LEITURA;IN_ACESSIBILIDADE_ELEVADOR;IN_INTERNET_APRENDIZAGEM;IN_ACESSO_INTERNET_COMPUTADOR;QT_PROF_PSICOLOGO;Código da Escola;Rede;IDEB
0;Angra dos Reis;E M ALEXINA LOWNDES; true;false;false;false;true;true;false;false;false;false;true;0;33036748;Municipal;6,1
1;Angra dos Reis;E M PROF AMELIA ARAUJO LAGE; true;false; true;false;false;false;false;false;false;false;false;0;33036772;Municipal;5
2;Angra dos Reis;E M DR LAURO TRAVASSOS; true;false;false;false;false;false;false;false;false;false;false;0;33036780;Municipal;6
3;Angra dos Reis;E M FREI FERNANDO GEURTSE; true;false;false;false;false;true;false;false;false;true;false;0;33036799;Municipal;6,5
4;Angra dos Reis;E M FRANCISCO XAVIER BOTELHO; true;false;false;false;false;true;false;false;false;false;false;0;33036802;Municipal;5,8
5;Angra dos Reis;E M POETA CARLOS D DE ANDRADE;false;false;false;false;false;false;false;false;false;false;false;0;33036837;Municipal;6
6;Angra dos Reis;E M PROF ANTONIO JOSE NOVAES JORDAO; true;false;false;false;false;true;false;false;false;true;true;0;33036853;Municipal;6,3
7;Angra dos Reis;E M PROF JOSE AMERICO LOMEU BASTOS; true;false;false;false;true;true;false;false;false;false;false;0;33036861;Municipal;6,2
8;Angra dos Reis;E M BRIGADEIRO NOBREGA; true; true; true;false;false;true;false;false;false;false;false;0;33037000;Municipal;6,4
9;Angra dos Reis;E M ALMIRANTE TAMANDARE; true;false; true;false;true;true;false;false;false;true;false;0;33050589;Municipal;5,4
10;Duque de Caxias;E M ALMIRANTE TAMANDARE;false;false; true;false;false;true;false;false;false;true;false;0;33050589;Municipal;5,4
11;Petropolis;E M ALMIRANTE TAMANDARE;false;false;false;false;false;true;false;true;false;true;false;0;33050589;Municipal;5,4
12;Angra dos Reis;EM AUREA PIRES DA GAMA; true;false;false;false;false;false;false;false;false;false;false;0;33037060;Municipal;5,2
13;Angra dos Reis;E M CACIQUE CUNHABEBE;false;false; true;false;false;false;false;true;false;false;false;0;33037078;Municipal;4,8
14;Angra dos Reis;E M DR ORLANDO GONCALVES;false;false;false;false;true;true;false;false;false;true;false;0;33037094;Municipal;5,6
15;Angra dos Reis;E M FREI JOAO MOREIRA; true;false;false;false;true;true;false;true;false;true;false;0;33037108;Municipal;5,9
16;Angra dos Reis;E M CECILIA MARA EDILEUS VIEIRA;false;false;false;false;false;false;false;false;false;false;false;0;33037116;Municipal;5,8
17;Angra dos Reis;E M MAURO SERGIO DA CUNHA; true;false; true;false;true;true;false;false;false;false;false;0;33037132;Municipal;4,8
18;Angra dos Reis;E M PREFEITO FRANCISCO PEREIRA ROCHA; true;false; true;false;false;true;false;false;false;true;true;0;33037140;Municipal;5,5
19;Angra dos Reis;E M PROF FRANCISCO DE A OLIVEIRA DINIZ;false;false;false;false;false;true;false;false;false;false;false;0;33037183;Municipal;6
20;Angra dos Reis;E M TEREZA PINHEIRO DE ALMEIDA; true;false; true;false;false;false;false;false;false;false;false;0;33037221;Municipal;5,7
21;Angra dos Reis;E M CEL JOAO PEDRO ALMEIDA; true;false; true;false;false;false;false;false;false;false;false;0;33037272;Municipal;5,5
22;Angra dos Reis;E M RAUL POMPEIA; true;false; true;false;true;true;false;false;true;false;false;0;33037310;Municipal;5,2
23;Angra dos Reis;E M INACIO DURING; true;false; true;false;false;true;false;false;false;true;false;0;33037361;Municipal;5,5
25;Angra dos Reis;E M PEDRO SOARES; true;false;false;false;true;true;false;false;false;false;false;0;33037450;Municipal;4,5
26;Angra dos Reis;E M AYRTON SENNA DA SILVA;false;false;false;false;false;true;false;true;false;false;false;0;33047413;Municipal;4,4
27;Belford Roxo;E M AYRTON SENNA DA SILVA;false; true; true;false;false;true;false;true;false;true;false;0;33047413;Municipal;4,4
28;Angra dos Reis;E M PROF TANIA RITA DE O TEIXEIRA; true;false;false;false;true;false;false;false;false;false;false;0;33098069;Municipal;5
29;Angra dos Reis;E M CORNELIS VEROLME; true;false; true;false;true;true;false;false;true;false;false;0;33153540;Municipal;5,8
30;Angra dos Reis;E M ZITA DE OLIVEIRA SOARES;false;false;false;false;false;true;false;true;true;false;false;0;33177813;Municipal;5,4
31;Angra dos Reis;E M MANOEL RAMOS; true;false; true;false;false;true;false;true;true;true;false;0;33439389;Municipal;6
32;Aperibe;E M ROMULO SARDINHA; true;false; true;false;true;true;false;false;false;true;true;0;33004838;Municipal;5,6
33;Aperibe;ESCOLA MUNICIPAL CASIMIRO MOREIRA DA FONSECA; true;false; true; true;false;true;false;true;false;true;true;0;33166323;Municipal;5,9
34;Araruama;ESCOLA MUNICIPAL VEREADOR ALCEBIADES CARVALHO DAS FLORES; true;false;false;false;true;true;false;true;false;false;false;0;33026491;Municipal;5,1
35;Araruama;E M ANTONIO ANDRADE MULLER; true;false;false;false;false;true;false;false;false;false;false;0;33026505;Municipal;5,7
36;Araruama;E M ECOLOGICA PROFESSOR FABIO SIQUEIRA;false;false;false;false;false;true;false;false;false;false;false;0;33026670;Municipal;4,4
37;Araruama;E M VEREADOR MOYSES RAMALHO; true;false; true;false;true;true;false;true;false;false;true;1;33026696;Municipal;5,6
38;Araruama;COLEGIO MUNICIPAL HONORINO COUTINHO; true;false; true;false;true;true;true;true;false;true;false;0;33026815;Municipal;5,3
39;Araruama;E M JOAQUINA DE OLIVEIRA RANGEL; true;false; true;false;true;true;false;true;false;false;false;0;33026963;Municipal;4,9
40;Araruama;E M FAUSTINA SILVA DE CARVALHO; true;false;false;false;true;true;false;false;false;false;false;0;33125473;Municipal;4,1
41;Araruama;E M ANDERSON DOMINGUES DE OLIVIERA;false;false; true;false;true;true;false;true;false;false;false;0;33130817;Municipal;5,3
42;Araruama;E M JOAO BRITO DE SOUZA; true;false; true;false;false;true;false;false;false;false;true;0;33132151;Municipal;5,5
43;Araruama;ESCOLA MUNICIPAL TONINHO SENRA;false;false;false;false;true;true;false;true;false;false;false;0;33145822;Municipal;4,3
44;Araruama;SARA URRUTIA BAPTISTA;false;false; true;false;true;true;false;true;false;false;false;0;33145946;Municipal;5,4
45;Araruama;VEREADOR EDEMUNDO PEREIRA DE SA CARVALHO; true;false;false;false;true;true;false;false;false;false;true;0;33158363;Municipal;4,8
46;Araruama;E M PROFESSORA HEGLAUCIA MARIA DE MELLO MATTA;false;false;false;false;true;true;false;true;false;false;false;0;33167320;Municipal;5
47;Araruama;EM THIOPHYLA SOARES DE BRAGANCA;false;false;false;false;true;true;false;false;false;false;false;0;33170258;Municipal;4,2
48;Araruama;PRACA ESCOLA MUNICIPAL MARCOS HERON CORREA; true;false; true;false;true;true;false;true;false;true;false;0;33189013;Municipal;5,5
49;Areal;E M MANOEL BAPTISTA DE ANDRADE;false;false;false;false;true;true;false;false;false;true;false;0;33016925;Municipal;7,4
50;Areal;E M RENATO FEO DE ALMEIDA; true;false; true;false;false;true;false;false;false;true;true;0;33150290;Municipal;5,2
51;Barra do Pirai;E E M HELIO CRUZ DE OLIVEIRA;false;false; true;false;false;true;false;false;false;true;true;0;33034460;Municipal;5,9
52;Barra do Pirai;EEM PROFESSOR JEHOVAH SANTOS; true;false; true;false;false;true;false;false;false;true;true;0;33034532;Municipal;6,5
53;Barra do Pirai;E M AMERICA BARBOSA DA SILVA;false;false; true;false;false;true;false;false;false;true;true;0;33034583;Municipal;6,5
54;Barra do Pirai;E M MANOEL FONSECA;false;false; true;false;false;true;false;false;false;true;true;0;33034613;Municipal;5,7
55;Barra do Pirai;E M MARIA GONZAGA DE OLIVEIRA;false;false; true;false;false;true;false;false;false;true;true;0;33034621;Municipal;6,1
56;Barra do Pirai;E M MIGUEL VASCONCELOS;false;false;false;false;false;false;false;false;false;true;false;0;33034648;Municipal;6
57;Barra do Pirai;E M PROF AMELIA DE JESUS LISBOA;false;false; true;false;false;true;false;false;false;false;true;0;33034664;Municipal;6,1
58;Barra do Pirai;J I MUL ISMAEL; true;false; true;false;false;true;false;true;false;true;true;0;33034737;Municipal;5,6
59;Barra do Pirai;J I MUL PROF NEWTON ROCHA BRANDAO;false;false; true;false;false;true;false;false;false;false;false;0;33034796;Municipal;5,4
60;Barra do Pirai;CIEP BRIZOLAO 428 DONA MARIANA COELHO MUNICIPALIZADO; true; true; true;false;true;true;false;true;false;true;true;0;33094411;Estadual;5,1
61;Barra do Pirai;E M JORGE DE FREITAS TINOCO;false;false; true;false;false;true;false;true;false;true;false;0;33167419;Municipal;5
62;Barra Mansa;CIEP 054 PROFESSORA MARIA JOSE MACHADO DE CARVALHO;false; true; true;false;true;true;false;true;false;true;true;0;33029334;Estadual;5,3
63;Barra Mansa;COLEGIO MUNICIPAL ANTONIO PEREIRA BRUNO; true;false; true;false;false;false;false;false;false;false;false;0;33029415;Municipal;6,5
64;Barra Mansa;COLEGIO MUNICIPAL PREFEITO MARCELLO DRABLE;false;false; true;false;true;true;false;true;false;true;true;0;33029458;Municipal;5,5
65;Barra Mansa;COLEGIO MUNICIPAL WASHINGTON LUIZ; true; true; true;false;true;true;false;true;false;false;false;0;33029474;Municipal;5,8
66;Barra Mansa;ESCOLA MUNICIPAL BAIRRO CAJUEIROS;false;false;false;false;false;true;false;true;false;false;false;0;33029601;Municipal;6,5
67;Barra Mansa;ESCOLA MUNICIPAL LEONEL DE MOURA BRIZOLA;false;false; true;false;false;true;false;true;false;true;true;0;33029636;Municipal;5,7
68;São João de Meriti;ESCOLA MUNICIPAL LEONEL DE MOURA BRIZOLA;false;false; true;false;true;true;false;true;false;true;true;0;33029636;Municipal;5,7
69;Barra Mansa;ESCOLA MUNICIPAL EULALIA GOUVEA PEREIRA; true;false;false;false;false;true;false;false;false;false;false;0;33029687;Municipal;5,4
70;Barra Mansa;ESCOLA MUNICIPAL REGINALDO ARAUJO;false;false; true;false;true;true;false;true;false;true;false;0;33029695;Municipal;6,9
71;Barra Mansa;ESCOLA MUNICIPAL ROTARY CLUBE;false;false;false;false;false;true;false;true;false;true;false;0;33029709;Municipal;5,5
