,ID_ESCOLA,NOTA_IDEB,NO_ENTIDADE,NO_UF,SG_UF,NO_REGIAO,NO_MUNICIPIO,NO_BAIRRO,CO_CEP,DS_ENDERECO,NU_ENDERECO
0,31200271,4.7,EE PEDRO ALVARES CABRAL,Minas Gerais,MG,Sudeste,Abadia dos Dourados,CENTRO,38540000,AVENIDA SANTOS,287
1,31258971,4.8,EE ABRE CAMPO,Minas Gerais,MG,Sudeste,Abre Campo,CENTRO,35365000,R SANTANA,0
2,31106003,4.2,EE PADRE SIMIM,Minas Gerais,MG,Sudeste,Acaiaca,CENTRO,35438000,AV MARGINAL SUL,270
3,31311863,3.4,EE JOSE ACACIO DA SILVA,Minas Gerais,MG,Sudeste,Água Comprida,CENTRO,38110000,R VINTE E OITO,140
4,31202134,5.4,EE PROFESSOR LEONIDES ALVARENGA,Minas Gerais,MG,Sudeste,Aguanil,CIDADE NOVA,37273000,TRAV HERCULANO PIMENTA,150
5,31184462,3.5,EE DE ITAMARATI,Minas Gerais,MG,Sudeste,Águas Vermelhas,CENTRO,39990000,LOCALIDADE,100
6,31041769,3.6,EE AMERICO MARTINS DA COSTA,Minas Gerais,MG,Sudeste,Aimorés,IGREJINHA,35200000,R DR HUGO LOPEZ NALLE,830
7,31041785,3.6,EE FREI AFONSO MARIA JORDA,Minas Gerais,MG,Sudeste,Aimorés,CENTRO,35200000,AV RAUL SOARES,612
8,31170682,4.9,EE CONSELHEIRO FIDELIS,Minas Gerais,MG,Sudeste,Aiuruoca,CENTRO,37450000,R JONAS BENFICA,190
9,31276464,4.3,EE MARIA DO CARMO LIMA PINTO,Minas Gerais,MG,Sudeste,Alagoa,CENTRO,37458000,R GUMERCINDO FERREIRA PINTO,308
10,31096512,2.8,EE SAO JOSE,Minas Gerais,MG,Sudeste,Além Paraíba,PORTO VELHO,36660000,RUA JOSE MERCADANTE,218
11,31096521,4.6,EE SEBASTIAO CERQUEIRA,Minas Gerais,MG,Sudeste,Além Paraíba,ILHA LAZARETO,36660000,RUA PAULO VIEIRA DE CARVALHO,60
12,31170798,3.7,EE DOUTOR EMILIO SILVEIRA,Minas Gerais,MG,Sudeste,Alfenas,CENTRO,37130089,RUA DUQUE DE CAXIAS,1359
13,31170887,3.9,EE DOUTOR NAPOLEAO SALLES,Minas Gerais,MG,Sudeste,Alfenas,VISTA GRANDE,37137280,RUA THIAGO BARBOSA PAES,152
14,31023027,3.4,EE JOSE DANIEL UTSCH,Minas Gerais,MG,Sudeste,Alvorada de Minas,CENTRO,39145000,AV CONEGO JOSE CARVALHO,260
15,31123714,4.4,EE DOUTOR ALCIDES MOSCONI,Minas Gerais,MG,Sudeste,Andradas,CENTRO,37795000,R VEREADOR ALCEU DE OLIVEIRA RANGEL,194
16,31184616,3.7,EE BARAO DO RIO BRANCO,Minas Gerais,MG,Sudeste,Cachoeira de Pajeú,CENTRO,39980000,PRACA ANTONIO DAVID,0
17,31205613,3.7,EE DO POVOADO DE AGUAS ALTAS,Minas Gerais,MG,Sudeste,Cachoeira de Pajeú,CENTRO,39980000,RUA POMPILIO DE ALMEIDA,12
18,31246328,4,EE DO CARIRI,Minas Gerais,MG,Sudeste,Cachoeira de Pajeú,POVOADO DE PRES TANCREDO NEVES,39980000,RUA PRINCIPAL,0
19,31014842,4.2,EE VISCONDE DE ARANTES,Minas Gerais,MG,Sudeste,Andrelândia,ROSARIO,37300000,R SAO FRANCISCO DE ASSIS,02
20,31190683,4.5,EE PROFESSOR LETRO,Minas Gerais,MG,Sudeste,Antônio Dias,CENTRO,35177000,R CARVALHO DE BRITO,368
21,31305278,5.6,EE GERALDO ROCHA,Minas Gerais,MG,Sudeste,Antônio Prado de Minas,CENTRO,36850000,R N SRA APARECIDA,212
22,31311189,4.1,EE PROFESSORA MARIA DA CONCEICAO SILVA,Minas Gerais,MG,Sudeste,Araçaí,CENTRO,35777000,AVENIDA ULISSES BATISTA,40
23,31146081,4.1,EE DOM JOSE DE HAAS,Minas Gerais,MG,Sudeste,Araçuaí,SANTA TEREZA,39600000,RUA SANTA BERNADETE,246
24,31146099,4.3,EE INDUSTRIAL SAO JOSE,Minas Gerais,MG,Sudeste,Araçuaí,VILA MAGNOLIA,39600000,RUA VITORIA,212
25,31146102,4,EE ISALTINA CAJUBI FULGENCIO,Minas Gerais,MG,Sudeste,Araçuaí,CORREDOR,39600000,AVENIDA CLEMENTINO SILVEIRA,1043
26,31146161,4.7,EE HILARIO PINHEIRO JARDIM,Minas Gerais,MG,Sudeste,Araçuaí,ALFREDO GRACA,39600000,RUA DA ESTACAO,522
27,31146170,4.2,EE JOSE DOS SANTOS NEIVA,Minas Gerais,MG,Sudeste,Araçuaí,CENTRO,39602000,RUA ANTONIO ELOI OTONI,186
28,31166634,4.1,EE DONA ELEONORA PIERUCCETTI,Minas Gerais,MG,Sudeste,Araguari,AMORIM,38446112,R GUANABARA,310
29,31166685,4.4,EE MADRE MARIA BLANDINA,Minas Gerais,MG,Sudeste,Araguari,INDUSTRIAL,38442040,AV NICOLAU DORAZIO,129
30,31166740,4,EE RAUL SOARES,Minas Gerais,MG,Sudeste,Araguari,CENTRO,38440238,AV TIRADENTES,135
31,31166766,4.7,EE SAO JUDAS TADEU,Minas Gerais,MG,Sudeste,Araguari,INDEPENDENCIA,38443081,R ESTADOS UNIDOS,245
32,31369993,4.6,COLEGIO TIRADENTES DA PMMG - CTPM - UNIDADE ARAGUARI,Minas Gerais,MG,Sudeste,Araguari,MILENIUM,38441121,RUA RAIMUNDO JOEL,621
33,31067881,2.6,EE PADRE FRANCISCO REY,Minas Gerais,MG,Sudeste,Arantina,CENTRO,37360000,RUA JOAQUIM LANDIM FILHO,101
34,31118419,4.9,EE MANOEL GONCALVES BOAVENTURA,Minas Gerais,MG,Sudeste,Arapuá,CENTRO,38860000,R MIGUEL VELOSO,180
35,31031984,4.5,EE JOSE MANOEL,Minas Gerais,MG,Sudeste,Araújos,STO ANTONIO,35603000,R MINAS GERAIS,1448
36,31158178,4,EE ARMANDO SANTOS,Minas Gerais,MG,Sudeste,Araxá,SAO GERALDO,38180100,PRACA FAUSTO BARBOSA,790
37,31158224,4.3,EE DOM JOSE GASPAR,Minas Gerais,MG,Sudeste,Araxá,SAO PEDRO,38183052,RUA ABDANUR ELIAS,100
38,31032026,5,EE DA VILA BOA VISTA,Minas Gerais,MG,Sudeste,Arcos,VILA BOA VISTA,35588000,R LUCAS LUIS DE FARIA,0
39,31305316,3.3,EE PROFESSOR LUIZ ANTONIO PIRES SOUZA,Minas Gerais,MG,Sudeste,Argirita,CENTRO,36710000,R MIZAEL FURTADO,331
40,31231860,4,EE PROFESSOR BENEVIDES,Minas Gerais,MG,Sudeste,Arinos,CRISPIM SANTANA,38680000,R MANOEL VIANA DE SOUZA,0
41,31032221,3.9,EE JOSE ALZAMORA,Minas Gerais,MG,Sudeste,Bambuí,CENTRO,38900000,RUA SETE DE SETEMBRO,145
42,31123897,4.6,EE JOSE BANDEIRA DE CARVALHO,Minas Gerais,MG,Sudeste,Bandeira do Sul,CENTRO,37740000,AV PEDRO DE CASTRO MUNIZ,188
43,31007706,4.8,EE ODILON BEHRENS,Minas Gerais,MG,Sudeste,Barão de Cocais,CENTRO,35970000,R MONS HORTA,57
44,31096695,4.2,EE PROFESSOR TOMAS AQUINO PEREIRA,Minas Gerais,MG,Sudeste,Barão de Monte Alto,CENTRO,36870000,RUA FERREIRA E SOUZA,102
45,31014630,7.5,ESCOLA PREPARATORIA DE CADETES DO AR,Minas Gerais,MG,Sudeste,Barbacena,SAO JOSE,36205900,SANTOS DUMONT 149,149
46,31015091,4.2,EE DOUTOR TEOBALDO TOLLENDAL,Minas Gerais,MG,Sudeste,Barbacena,MONTE MARIO,36201302,RUA FREI ORLANDO,210
47,31015105,4.5,EE EMBAIXADOR JOSE BONIFACIO,Minas Gerais,MG,Sudeste,Barbacena,CENTRO,36200034,AVENIDA PEREIRA TEIXEIRA,0
